grupo;Codigo_Puerto_de_Arribo;Nombre_Puerto_de_Arribo;Cod_Variedad;Nombre_Variedad;Grupo_Variedad;Cod_Variedad_Packing;Nombre_Variedad_Packing;Nombre_Productor_Real;Fecha_Inspeccion;Puerto_de_Zarpe;Nombre_Recibidor;Nombre_Nave;Numero_Contenedor;BROKER;Tipo_Nave_Exportacion;Tipo_Caja;Cod_Temporada;Tipo_Movimiento;Cod_Envase;Cod_Etiqueta;Cod_Embalaje;Plu;Cajas;Nombre_Categoria;Cod_Calibre;Zona;Cod_Mercado_de_la_Nave;Nombre_Mercado_de_la_Nave;Cod_Mercado_del_Despacho;Nombre_Mercado_del_Despacho;Etiqueta;Tipo_SAG;Cod_Nave;Cod_Recibidor;Fecha_Despacho;Mes_Despacho;Cod_Puerto;Tipo_Camion;Cod_Embarcador;Base_de_Pallet;Grupo_Productor;Semana_Zarpe;Nombre_Puerto_Arribo;Fecha_Arribo;Fecha_Zarpe;Mes_Zarpe;Tipo_Transporte;Cod_Naviera;Nombre_Naviera;Fecha_Packing;Fecha_Recepcion;CajasEquivalentes;Peso_Neto_Envase_Operacional;Peso_Bruto_Envase_Operacional;Kilos_Brutos_Envase_Operacional;Nombre_Transportista;Nombre_Provincia;Codigo_Comuna;Nombre_Comuna;Cod._Pa¡s_Nave;Nom._Pa¡s_Nave;Cod_Destino_;Nombre_Destino;Total_Kilos;_Numero_Proceso_;Peso_Real_Pallet;__Caja_Est__;Fecha_de_cosecha;Fecha_de_Recepci¢n;FOB_CAJA
11;1000;SHANGHAI;SA;SANTINA;;B3;BING_3;Prod.56;43769;AEROPUERTO__C.A.M.B.;Recibidor13;AEREO;TERMO;;Naves_Exportaci¢n;CAJA_CARTON_2,5_KG;C3;D;C2,5;PR;25PRA;S/P;17;CAT_1;LD;C;CHI;CHINA;CHI;CHINA;PAVO_REAL;O;1;1;31-10-2019;Octubre;9;T;1;1X12;NATS;44;AER_CHN;30-10-2019;30-10-2019;Octubre;1;2;CHINA_EASTERN;30-10-2019;30-10-2019;0;2,5;2,9;2,9;PARTICULAR;CURICO;70205;RAUCO;CHI;CHINA;1000;SHANGHAI;42,5;1;0;9;30-10-2019;30-10-2019;22,19
11;1000;SHANGHAI;RD;ROYAL_DAWN;;RD;ROYAL_DAWN;Prod.40;43795;AEROPUERTO__C.A.M.B.;Recibidor13;AEREO;TERMO;;Naves_Exportaci¢n;CAJA_CARTON_2,5_KG;C3;D;C2,5;PR;25PRA;0INF;21;CAT_1;PD;C;CHI;CHINA;CHI;CHINA;PAVO_REAL;O;72;1;27-11-2019;Noviembre;12;T;1;PL0151;NATS;48;AER_CHN;27-11-2019;27-11-2019;Noviembre;1;40;TURKISH;26-11-2019;26-11-2019;0;2,5;2,9;2,9;PARTICULAR;COLCHAGUA;60301;CHPICA;CHI;CHINA;1000;SHANGHAI;52,5;271;0;11;25-11-2019;25-11-2019;18,08
11;1263;HEFEI;RD;ROYAL_DAWN;;RD;ROYAL_DAWN;Prod.57;43775;AEROPUERTO__C.A.M.B.;Recibidor13;AEREO;TERMO;;Naves_Exportaci¢n;CAJA_CARTON_5,0_KG;C3;D;C5;CO;50COA;S/P;2;CAT_1;XLD;C;CHI;CHINA;CHI;CHINA;CONDOR;O;2;1;06-11-2019;Noviembre;9;T;1;1X12;NATS;45;AER_CHN;05-11-2019;05-11-2019;Noviembre;1;2;CHINA_EASTERN;05-11-2019;05-11-2019;0;5;5,6;5,6;PARTICULAR;CURICO;70207;SAGRADA_FAMILIA;CHI;CHINA;1263;HEFEI;10;2;0;2;05-11-2019;05-11-2019;35,7
11;1074;ZHENGHZOU_AIRPORT;RD;ROYAL_DAWN;;RD;ROYAL_DAWN;Prod.19;43779;AEROPUERTO__C.A.M.B.;Recibidor13;AEREO;TERMO;;Naves_Exportaci¢n;CAJA_CARTON_5,0_KG;C3;D;C5;CO;50COA;S/P;5;CAT_1;XLL;C;CHI;CHINA;CHI;CHINA;CONDOR;O;4;1;10-11-2019;Noviembre;9;T;1;PL0151;NATS;45;AER_CHN;10-11-2019;10-11-2019;Noviembre;1;10;CARGOLUX_AIRLINES;09-11-2019;09-11-2019;0;5;5,6;5,6;PARTICULAR;CACHAPOAL;60117;SAN_VICENTE;CHI;CHINA;1074;ZHENGHZOU_AIRPORT;25;6;0;5;09-11-2019;09-11-2019;23,88
11;134;HONG_KONG;RD;ROYAL_DAWN;;RD;ROYAL_DAWN;Prod.19;43783;AEROPUERTO__C.A.M.B.;Recibidor16;AEREO;TERMO;;Naves_Exportaci¢n;CAJA_CARTON_5,0_KG;C3;D;C5;PR;50PRA;S/P;120;CAT_1;SJD;C;CHI;CHINA;CHI;CHINA;PAVO_REAL;O;6;4;14-11-2019;Noviembre;9;T;1;PL0151;NATS;46;MAR_HKG;14-11-2019;14-11-2019;Noviembre;1;4;EMIRATES;13-11-2019;13-11-2019;0;5;5,6;5,6;PARTICULAR;CACHAPOAL;60117;SAN_VICENTE;CHI;CHINA;134;HONG_KONG;600;14;0;120;13-11-2019;13-11-2019;32,04
11;134;HONG_KONG;RD;ROYAL_DAWN;;RD;ROYAL_DAWN;Prod.2;43784;VALPARAISO;Recibidor15;HMM_BLESSING;SZLU9230157;RIVERKING;Naves_Exportaci¢n;CAJA_CARTON_5,0_KG;C3;D;C5;PR;50PRM;S/P;88;CAT_1;XLD;C;CHI;CHINA;CHI;CHINA;PAVO_REAL;O;18;8;18-11-2019;Noviembre;2;T;1;MA0304;NATS;47;MAR_HKG;18-11-2019;20-11-2019;Noviembre;2;24;ONE;15-11-2019;15-11-2019;0;5;5,6;5,6;PARTICULAR;CURICO;70208;TENO;CHI;CHINA;134;HONG_KONG;440;22;0;88;15-11-2019;15-11-2019;38,84
11;134;HONG_KONG;RD;ROYAL_DAWN;;RD;ROYAL_DAWN;Prod.40;43784;VALPARAISO;Recibidor15;HMM_BLESSING;SZLU9230157;RIVERKING;Naves_Exportaci¢n;CAJA_CARTON_5,0_KG;C3;D;C5;PR;50PRM;S/P;78;CAT_1;SJL;C;CHI;CHINA;CHI;CHINA;PAVO_REAL;O;18;8;18-11-2019;Noviembre;2;T;1;MA0304;NATS;47;MAR_HKG;18-11-2019;20-11-2019;Noviembre;2;24;ONE;16-11-2019;16-11-2019;0;5;5,6;5,6;PARTICULAR;COLCHAGUA;60301;CHPICA;CHI;CHINA;134;HONG_KONG;390;28;0;78;16-11-2019;16-11-2019;48,53
11;134;HONG_KONG;RD;ROYAL_DAWN;;RD;ROYAL_DAWN;Prod.21;43784;VALPARAISO;Recibidor15;HMM_BLESSING;TLLU112245-0;RIVERKING;Naves_Exportaci¢n;CAJA_CARTON_5,0_KG;C3;D;C5;CO;50COM;S/P;184;CAT_1;JD;C;CHI;CHINA;CHI;CHINA;CONDOR;O;15;8;17-11-2019;Noviembre;2;T;1;MA0304;NATS;47;MAR_HKG;17-11-2019;20-11-2019;Noviembre;2;24;ONE;14-11-2019;14-11-2019;0;5;5,6;5,6;PARTICULAR;CACHAPOAL;60113;QUINTA_TILCOCO;CHI;CHINA;134;HONG_KONG;920;18;0;184;14-11-2019;14-11-2019;49,94
11;134;HONG_KONG;RD;ROYAL_DAWN;;RD;ROYAL_DAWN;Prod.21;43785;VALPARAISO;Recibidor15;HMM_BLESSING;TLLU112245-0;RIVERKING;Naves_Exportaci¢n;CAJA_CARTON_5,0_KG;C3;D;C5;CO;50COM;S/P;184;CAT_1;LD;C;CHI;CHINA;CHI;CHINA;CONDOR;O;15;8;17-11-2019;Noviembre;2;T;1;MA0304;NATS;47;MAR_HKG;17-11-2019;20-11-2019;Noviembre;2;24;ONE;16-11-2019;16-11-2019;0;5;5,6;5,6;PARTICULAR;CACHAPOAL;60113;QUINTA_TILCOCO;CHI;CHINA;134;HONG_KONG;920;25;0;184;16-11-2019;16-11-2019;31,92
11;6700;NINGBO;RD;ROYAL_DAWN;;RD;ROYAL_DAWN;Prod.21;43784;AEROPUERTO__C.A.M.B.;Recibidor16;AEREO;TERMO;;Naves_Exportaci¢n;CAJA_CARTON_5,0_KG;C3;D;C5;CO;50COA;S/P;120;CAT_1;JD;C;CHI;CHINA;CHI;CHINA;CONDOR;O;14;4;17-11-2019;Noviembre;8;T;1;PL0151;NATS;46;NINGBO;16-11-2019;16-11-2019;Noviembre;1;1;CATHAY_PACIFIC_AIRWAIS;15-11-2019;15-11-2019;0;5;5,6;5,6;PARTICULAR;CACHAPOAL;60113;QUINTA_TILCOCO;CHI;CHINA;6700;NINGBO;600;21;0;120;15-11-2019;15-11-2019;52,37
